id,title,artist,language,mood
1,Seeti Maar,Shreya Ghoshal,Telugu,Happy
2,Butta Bomma,Shreya Ghoshal,Telugu,Energetic
3,Shayad,Sonu Nigam,Hindi,Romantic
4,Srivalli,DSP,Telugu,Calm
5,Kesariya,Sonu Nigam,Hindi,Sad
6,Perfect,Adele,English,Calm
7,Samajavaragamana,Sid Sriram,Telugu,Sad
8,Kesariya,Shreya Ghoshal,Hindi,Energetic
9,Kesariya,Badshah,Hindi,Romantic
10,Srivalli,Anurag Kulkarni,Telugu,Romantic
11,Seeti Maar,Anurag Kulkarni,Telugu,Energetic
12,Channa Mereya,Neha Kakkar,Hindi,Calm
13,Kesariya,Sonu Nigam,Hindi,Happy
14,Kesariya,Neha Kakkar,Hindi,Energetic
15,Apna Time Aayega,Shreya Ghoshal,Hindi,Energetic
16,Srivalli,DSP,Telugu,Romantic
17,Srivalli,Shreya Ghoshal,Telugu,Romantic
18,Shape of You,Ed Sheeran,English,Sad
19,Kesariya,Arijit Singh,Hindi,Calm
20,Samajavaragamana,DSP,Telugu,Happy
21,Shape of You,Katy Perry,English,Sad
22,Vachindamma,Shreya Ghoshal,Telugu,Happy
23,Butta Bomma,Sid Sriram,Telugu,Calm
24,Srivalli,Armaan Malik,Telugu,Romantic
25,Shayad,Neha Kakkar,Hindi,Sad
26,Tum Hi Ho,Sonu Nigam,Hindi,Calm
27,Shape of You,Adele,English,Calm
28,Apna Time Aayega,Sonu Nigam,Hindi,Calm
29,Perfect,The Weeknd,English,Happy
30,Apna Time Aayega,Badshah,Hindi,Happy
31,Vachindamma,Armaan Malik,Telugu,Energetic
32,Kesariya,Badshah,Hindi,Energetic
33,Apna Time Aayega,Badshah,Hindi,Energetic
34,Channa Mereya,Badshah,Hindi,Romantic
35,Seeti Maar,Anurag Kulkarni,Telugu,Happy
36,Someone Like You,The Weeknd,English,Sad
37,Shape of You,Katy Perry,English,Sad
38,Apna Time Aayega,Sonu Nigam,Hindi,Sad
39,Samajavaragamana,Sid Sriram,Telugu,Calm
40,Kesariya,Neha Kakkar,Hindi,Calm
41,Tum Hi Ho,Arijit Singh,Hindi,Sad
42,Shape of You,Adele,English,Happy
43,Apna Time Aayega,Neha Kakkar,Hindi,Energetic
44,Kesariya,Sonu Nigam,Hindi,Calm
45,Butta Bomma,Anurag Kulkarni,Telugu,Happy
46,Shape of You,Adele,English,Energetic
47,Seeti Maar,Anurag Kulkarni,Telugu,Happy
48,Seeti Maar,Armaan Malik,Telugu,Romantic
49,Butta Bomma,DSP,Telugu,Calm
50,Shape of You,Katy Perry,English,Happy
51,Roar,Adele,English,Calm
52,Roar,Adele,English,Sad
53,Perfect,Taylor Swift,English,Sad
54,Shayad,Shreya Ghoshal,Hindi,Romantic
55,Channa Mereya,Arijit Singh,Hindi,Happy
56,Shayad,Shreya Ghoshal,Hindi,Calm
57,Perfect,The Weeknd,English,Calm
58,Someone Like You,Taylor Swift,English,Romantic
59,Apna Time Aayega,Badshah,Hindi,Romantic
60,Perfect,Ed Sheeran,English,Sad
61,Shape of You,Taylor Swift,English,Energetic
62,Butta Bomma,DSP,Telugu,Calm
63,Blinding Lights,Taylor Swift,English,Calm
64,Kesariya,Sonu Nigam,Hindi,Romantic
65,Srivalli,Anurag Kulkarni,Telugu,Energetic
66,Samajavaragamana,Armaan Malik,Telugu,Sad
67,Tum Hi Ho,Neha Kakkar,Hindi,Happy
68,Srivalli,Shreya Ghoshal,Telugu,Calm
69,Butta Bomma,Anurag Kulkarni,Telugu,Energetic
70,Seeti Maar,Armaan Malik,Telugu,Romantic
71,Perfect,Ed Sheeran,English,Happy
72,Vachindamma,Armaan Malik,Telugu,Sad
73,Samajavaragamana,Sid Sriram,Telugu,Calm
74,Butta Bomma,Armaan Malik,Telugu,Happy
75,Butta Bomma,Shreya Ghoshal,Telugu,Happy
76,Srivalli,DSP,Telugu,Romantic
77,Apna Time Aayega,Arijit Singh,Hindi,Energetic
78,Shayad,Badshah,Hindi,Romantic
79,Vachindamma,Anurag Kulkarni,Telugu,Happy
80,Blinding Lights,The Weeknd,English,Sad
81,Apna Time Aayega,Sonu Nigam,Hindi,Happy
82,Apna Time Aayega,Badshah,Hindi,Energetic
83,Seeti Maar,DSP,Telugu,Energetic
84,Butta Bomma,Anurag Kulkarni,Telugu,Energetic
85,Butta Bomma,DSP,Telugu,Romantic
86,Vachindamma,DSP,Telugu,Calm
87,Seeti Maar,Shreya Ghoshal,Telugu,Calm
88,Someone Like You,Taylor Swift,English,Energetic
89,Seeti Maar,DSP,Telugu,Romantic
90,Kesariya,Badshah,Hindi,Romantic
91,Perfect,The Weeknd,English,Romantic
92,Roar,Taylor Swift,English,Happy
93,Blinding Lights,The Weeknd,English,Happy
94,Kesariya,Sonu Nigam,Hindi,Happy
95,Tum Hi Ho,Shreya Ghoshal,Hindi,Romantic
96,Kesariya,Sonu Nigam,Hindi,Energetic
97,Someone Like You,Adele,English,Energetic
98,Channa Mereya,Arijit Singh,Hindi,Energetic
99,Shape of You,Ed Sheeran,English,Sad
100,Kesariya,Shreya Ghoshal,Hindi,Happy
101,Srivalli,Anurag Kulkarni,Telugu,Energetic
